date,max_temp_c,min_temp_c,gdd,cumsum_gdd,kc
01/04/2024,9.7,4.3,0.0,0.0,0.0
02/04/2024,8.2,5.3,0.0,0.0,0.0
03/04/2024,17.1,7.6,2.3500000000000014,2.3500000000000014,0.0
04/04/2024,19.5,7.5,3.5,5.850000000000001,0.0
05/04/2024,21.7,10.2,5.949999999999999,11.8,0.0
06/04/2024,15.8,9.7,2.75,14.55,0.0
07/04/2024,17.1,7.8,2.450000000000001,17.0,0.0
08/04/2024,10.2,4.1,0.0,17.0,0.0
09/04/2024,15.8,3.0,0.0,17.0,0.0
10/04/2024,19.2,6.7,2.9499999999999993,19.95,0.0
11/04/2024,22.0,11.6,6.800000000000001,26.75,0.0
12/04/2024,26.1,13.1,9.600000000000001,36.35,0.0
13/04/2024,26.9,15.1,11.0,47.35,0.0
14/04/2024,27.4,16.3,11.850000000000001,59.2,0.0
15/04/2024,26.5,14.0,10.25,69.45,0.0
16/04/2024,24.2,11.8,8.0,77.45,0.0
17/04/2024,20.5,10.3,5.4,82.85000000000001,0.0
18/04/2024,20.4,9.7,5.049999999999999,87.9,0.0
19/04/2024,21.2,8.6,4.899999999999999,92.80000000000001,0.0
20/04/2024,22.7,12.5,7.600000000000001,100.4,0.0
21/04/2024,22.0,9.0,5.5,105.9,0.0
22/04/2024,19.4,8.8,4.1,110.0,0.0
23/04/2024,18.9,5.5,2.1999999999999993,112.2,0.0019600000000000017
24/04/2024,18.9,7.1,3.0,115.2,0.007360000000000007
25/04/2024,15.2,8.3,1.75,116.95,0.01051000000000001
26/04/2024,12.2,3.8,0.0,116.95,0.01051000000000001
27/04/2024,11.4,4.6,0.0,116.95,0.01051000000000001
28/04/2024,13.3,5.0,0.0,116.95,0.01051000000000001
29/04/2024,16.7,5.2,0.9499999999999993,117.9,0.012220000000000017
30/04/2024,10.6,5.9,0.0,117.9,0.012220000000000017
01/05/2024,10.7,4.4,0.0,117.9,0.012220000000000017
02/05/2024,12.0,5.4,0.0,117.9,0.012220000000000017
03/05/2024,13.8,6.3,0.05000000000000071,117.95,0.012310000000000012
04/05/2024,13.1,9.9,1.5,119.45,0.015010000000000015
05/05/2024,13.4,10.5,1.9499999999999993,121.4,0.018520000000000023
06/05/2024,17.8,7.7,2.75,124.15,0.02520500000000003
07/05/2024,21.8,7.9,4.850000000000001,129.0,0.038299999999999994
08/05/2024,22.9,10.8,6.850000000000001,135.85,0.05905999999999997
09/05/2024,22.1,12.5,7.300000000000001,143.15,0.08534000000000005
10/05/2024,26.6,12.9,9.75,152.9,0.11283000000000004
11/05/2024,25.0,12.5,8.75,161.65,0.13097000000000003
12/05/2024,21.8,12.8,7.300000000000001,168.95000000000002,0.14411000000000007
13/05/2024,17.9,9.0,3.4499999999999993,172.4,0.15032000000000004
14/05/2024,13.6,8.1,0.8499999999999996,173.25,0.15185
15/05/2024,11.9,7.8,0.0,173.25,0.15185
16/05/2024,15.4,7.1,1.25,174.5,0.15410000000000001
17/05/2024,15.7,8.4,2.0500000000000007,176.55,0.15779000000000004
18/05/2024,14.1,8.0,1.0500000000000007,177.60000000000002,0.15968000000000004
19/05/2024,16.4,9.4,2.8999999999999986,180.50000000000003,0.16490000000000007
20/05/2024,19.0,8.7,3.8499999999999996,184.35000000000002,0.17183000000000004
21/05/2024,16.3,7.9,2.1000000000000014,186.45000000000002,0.17561000000000004
22/05/2024,15.7,9.3,2.5,188.95000000000002,0.18011000000000002
23/05/2024,21.7,6.4,4.050000000000001,193.00000000000003,0.18740000000000007
24/05/2024,24.6,10.3,7.450000000000003,200.45000000000005,0.20040500000000006
25/05/2024,22.1,10.4,6.25,206.70000000000005,0.20603000000000005
26/05/2024,22.1,12.2,7.149999999999999,213.85000000000005,0.21246500000000004
27/05/2024,25.8,10.6,8.2,222.05000000000004,0.21984500000000004
28/05/2024,28.6,13.5,11.05,233.10000000000005,0.22979000000000008
29/05/2024,30.7,15.7,13.2,246.30000000000004,0.24167000000000005
30/05/2024,31.3,17.3,14.3,260.6,0.25
31/05/2024,26.4,13.6,10.0,270.6,0.25
01/06/2024,25.6,12.1,8.850000000000001,279.45000000000005,0.25150500000000003
02/06/2024,26.0,11.4,8.7,288.15000000000003,0.2593350000000001
03/06/2024,27.9,13.0,10.45,298.6,0.26
04/06/2024,29.8,15.4,12.600000000000001,311.20000000000005,0.2600800000000001
05/06/2024,28.7,15.6,12.149999999999999,323.35,0.27
06/06/2024,30.2,15.6,12.899999999999999,336.25,0.27
07/06/2024,27.1,16.6,11.850000000000001,348.1,0.27
08/06/2024,18.5,15.3,6.899999999999999,355.0,0.27
09/06/2024,21.7,15.5,8.600000000000001,363.6,0.27724000000000004
10/06/2024,24.5,14.7,9.600000000000001,373.20000000000005,0.28588
11/06/2024,26.0,12.8,9.399999999999999,382.6,0.29
12/06/2024,24.9,12.2,8.549999999999997,391.15000000000003,0.29
13/06/2024,23.9,12.7,8.299999999999997,399.45000000000005,0.29
14/06/2024,18.5,11.3,4.9,404.35,0.29391500000000004
15/06/2024,21.6,8.3,4.950000000000001,409.3,0.29837
16/06/2024,22.2,10.9,6.550000000000001,415.85,0.3085300000000001
17/06/2024,21.8,12.2,7.0,422.85,0.32056500000000004
18/06/2024,19.0,12.2,5.6,428.45000000000005,0.32560500000000003
19/06/2024,22.6,11.1,6.850000000000001,435.30000000000007,0.33354000000000017
20/06/2024,20.8,11.4,6.100000000000001,441.4000000000001,0.34452000000000016
21/06/2024,25.1,11.5,8.3,449.7000000000001,0.3547300000000001
22/06/2024,27.6,14.0,10.8,460.5000000000001,0.3689000000000002
23/06/2024,30.8,16.0,13.399999999999999,473.9000000000001,0.3930200000000002
24/06/2024,32.1,18.2,15.149999999999999,489.05000000000007,0.42
25/06/2024,25.5,14.4,9.95,499.00000000000006,0.42
26/06/2024,30.6,14.0,12.3,511.30000000000007,0.43017000000000005
27/06/2024,32.3,17.8,15.049999999999997,526.35,0.443715
28/06/2024,22.4,16.4,9.399999999999999,535.75,0.45
29/06/2024,18.3,12.8,5.550000000000001,541.3,0.45
30/06/2024,21.4,12.4,6.899999999999999,548.1999999999999,0.45337999999999995
01/07/2024,28.7,13.7,11.2,559.4,0.46346
02/07/2024,30.5,16.9,13.7,573.1,0.47579000000000005
03/07/2024,33.2,19.2,16.200000000000003,589.3000000000001,0.49
04/07/2024,33.6,19.5,16.55,605.85,0.495265
05/07/2024,33.1,18.9,16.0,621.85,0.509665
06/07/2024,25.9,14.9,10.399999999999999,632.25,0.519025
07/07/2024,26.5,13.7,10.100000000000001,642.35,0.53623
08/07/2024,26.2,12.8,9.5,651.85,0.5466650000000001
09/07/2024,22.6,16.0,9.3,661.15,0.5550350000000001
10/07/2024,27.5,17.5,12.5,673.65,0.57257
11/07/2024,25.4,16.4,10.899999999999999,684.55,0.5860949999999999
12/07/2024,29.2,14.3,11.75,696.3,0.59
13/07/2024,26.9,14.5,10.7,707.0,0.5962999999999999
14/07/2024,25.4,13.9,9.649999999999999,716.65,0.60997
15/07/2024,23.9,14.5,9.2,725.85,0.62
16/07/2024,27.2,12.0,9.600000000000001,735.45,0.62381
17/07/2024,30.5,16.2,13.350000000000001,748.8000000000001,0.64392
18/07/2024,31.6,16.3,13.950000000000003,762.7500000000001,0.6564750000000001
19/07/2024,31.1,17.9,14.5,777.2500000000001,0.6790500000000004
20/07/2024,26.8,16.7,11.75,789.0000000000001,0.6901
21/07/2024,31.6,13.9,12.75,801.7500000000001,0.7015750000000001
22/07/2024,34.6,18.3,16.450000000000003,818.2000000000002,0.7163800000000001
23/07/2024,37.4,22.1,19.75,837.9500000000002,0.7341550000000001
24/07/2024,37.4,23.6,20.5,858.4500000000002,0.7552100000000004
25/07/2024,35.0,23.0,19.0,877.4500000000002,0.7797050000000002
26/07/2024,33.9,21.2,17.549999999999997,895.0000000000001,0.79
27/07/2024,32.5,19.1,15.8,910.8000000000001,0.7997200000000001
28/07/2024,36.2,21.1,18.650000000000002,929.45,0.816505
29/07/2024,34.3,23.0,18.65,948.1,0.83
30/07/2024,35.1,21.5,18.3,966.4,0.84952
31/07/2024,32.4,20.2,16.299999999999997,982.6999999999999,0.85
01/08/2024,31.5,17.5,14.5,997.1999999999999,0.84252
02/08/2024,30.9,17.2,14.049999999999997,1011.2499999999999,0.8297500000000001
03/08/2024,34.4,18.9,16.65,1027.8999999999999,0.7997800000000002
04/08/2024,35.1,20.7,17.9,1045.8,0.7675599999999999
05/08/2024,32.5,19.1,15.8,1061.6,0.7391200000000001
06/08/2024,31.2,17.5,14.350000000000001,1075.9499999999998,0.7216450000000002
07/08/2024,34.1,19.3,16.700000000000003,1092.6499999999999,0.6866150000000001
08/08/2024,35.3,20.7,18.0,1110.6499999999999,0.6608300000000003
09/08/2024,37.8,22.0,19.9,1130.55,0.63501
10/08/2024,39.1,23.7,21.4,1151.95,0.5864899999999996
11/08/2024,34.0,20.2,17.1,1169.05,0.5535650000000003
12/08/2024,31.0,17.7,14.350000000000001,1183.3999999999999,0.5249400000000002
13/08/2024,26.6,16.6,11.600000000000001,1194.9999999999998,0.5090000000000005
14/08/2024,31.8,15.4,13.600000000000001,1208.5999999999997,0.47678000000000076
